Brigadier Antonio Parodi Airport,Esquel,Argentina,-42.908,-71.1395,ar
Almirante Marco Andres Zar Airport,Trelew,Argentina,-43.2105,-65.2703,ar
Gobernador Castello Airport,Viedma,Argentina,-40.8692,-63.0004,ar
El Tehuelche Airport,Puerto Madryn,Argentina,-42.7592,-65.1027,ar
Puerto Deseado Airport,Puerto Deseado,Argentina,-47.7353,-65.9041,ar
Hermes Quijada International Airport,Rio Grande,Argentina,-53.7777,-67.7494,ar
Piloto Civil N. Fernández Airport,Rio Gallegos,Argentina,-51.6089,-69.3126,ar
Malvinas Argentinas Airport,Ushuaia,Argentina,-54.8433,-68.2958,ar
Capitan D Daniel Vazquez Airport,San Julian,Argentina,-49.3068,-67.8026,ar
Perito Moreno Airport,Perito Moreno,Argentina,-46.5379,-70.9787,ar
Santa Cruz Airport,Santa Cruz,Argentina,-50.0165,-68.5792,ar
Comandante Espora Airport,Bahia Blanca,Argentina,-38.725,-62.1693,ar
Brigadier D.H.E. Ruiz Airport,Colonel Suarez,Argentina,-37.4461,-61.8893,ar
Olavarria Airport,Olavarria,Argentina,-36.89,-60.2166,ar
General Pico Airport,General Pico,Argentina,-35.6962,-63.7583,ar
Tres Arroyos Airport,Tres Arroyos,Argentina,-38.3869,-60.3297,ar
Bolivar Airport,Bolivar,Argentina,-36.1866,-61.0764,ar
Ástor Piazzola International Airport,Mar Del Plata,Argentina,-37.9342,-57.5733,ar
Presidente Peron Airport,Neuquen,Argentina,-38.949,-68.1557,ar
Comodoro Pedro Zanni Airport,Pehuajo,Argentina,-35.8446,-61.8576,ar
Santa Rosa Airport,Santa Rosa,Argentina,-36.5883,-64.2757,ar
San Carlos De Bariloche Airport,San Carlos De Bariloche,Argentina,-41.1512,-71.1575,ar
Héroes De Malvinas Airport,Tandil,Argentina,-37.2374,-59.2279,ar
Villa Gesell Airport,Villa Gesell,Argentina,-37.2354,-57.0292,ar
Cutral-Co Airport,Cutralco,Argentina,-38.9397,-69.2646,ar
Aviador C. Campos Airport,San Martin Des Andes,Argentina,-40.0754,-71.1373,ar
Ministro Pistarini International Airport,Buenos Aires,Argentina,-34.8222,-58.5358,ar
El Calafate Airport,El Calafate,Argentina,-50.2803,-72.0531,ar
General Enrique Mosconi Airport,Tartagal,Argentina,-22.6196,-63.7937,ar
Las Heras Airport,Las Heras,Argentina,-46.5383,-68.9653,ar
Antoine de Saint Exupéry Airport,San Antonio Oeste,Argentina,-40.7512,-65.0343,ar
Lago Argentino Airport,El Calafate,Argentina,-50.3361,-72.2486,ar
